index,artist,song,lyrics
345,Ed Sheeran,Galway Girl,"
She played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just want to dance""


I met her on Grafton street right outside of the bar
She shared a cigarette with me while her brother played the guitar
She asked me what does it mean, the Gaelic ink on your arm?
Said it was one of my friend's songs, do you want to drink on?
She took Jamie as a chaser, Jack for the fun
She got Arthur on the table with Johnny riding a shotgun
Chatted some more, one more drink at the bar
Then put Van on the jukebox, got up to dance


You know, she played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just want to dance""
With my pretty little Galway Girl
You're my pretty little Galway Girl


You know she beat me at darts and then she beat me at pool
And then she kissed me like there was nobody else in the room
As last orders were called was when she stood on the stool
After dancing the céili singing to trad tunes
I never heard Carrickfergus ever sung so sweet
A cappella in the bar using her feet for a beat
Oh, I could have that voice playing on repeat for a week
And in this packed out room swear she was singing to me


You know, she played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just want to dance""
My pretty little Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl


And now we've outstayed our welcome and it's closing time
I was holding her hand, her hand was holding mine
Our coats both smell of smoke, whisky and wine
As we fill up our lungs with the cold air of the night
I walked her home then she took me inside
To finish some Doritos and another bottle of wine
I swear I'm gonna put you in a song that I write
About a Galway Girl and a perfect night


She played the fiddle in an Irish band
But she fell in love with an English man
Kissed her on the neck and then I took her by the hand
Said, ""Baby, I just want to dance""
My pretty little Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl"
346,Kyle & Lil Yachty,I Spy,"
Man, fuck
What's wrong Kyle?
Man, these kids, man, talkin' shit, makin' me feel bad
Man, fuck them kids, bro! Look around, bro, look at life
Man, you're right
Mmm, you see? You see these fine bitches over here?
Yeah, whoa…
You see these trees man? You see this water?
I guess it is okay
Come on, man, you got so much more to appreciate, man
Man you know what, y-you're right…
You damn right I'm right, I can't remember a time I was god-damn wrong
Man, thanks, Lil Boat
Hey man, that's what I'm here for


I ain't been gettin' high
Well maybe a little, baby, I don't wanna lie
I know when you text me, girl, I don't always reply
Well you're not an angel either, you can't even fly
I noticed, you think that you know shit
All this shade that's comin' at me, I wonder who throws it
They can't see the vision, boy they must be out of focus
That's a real hot album homie, I wonder who wrote it, oh shit
Otay, pray them niggas go away
Always hella clowns around, it look like Cirque Du Soleil
This is not the album either, these are just the throwaways
This shit still so cold when it drop, it's gonna be a mothafuckin' snow day
Ayy, boy is good and he knows it, he don't say it, he shows it
I'm just like DeRozan, if I shoot it, it goes in
I'm in Cali just coastin', get 'em so wet they need coasters (facts)
I got a selfie with Oprah (facts), I just ain't never post it
And I'm in my happy place posted, I ain't frowned since '06
I ain't cried since '01, my pad like Six Flags and your house is no fun
You can come back to mine though
Your friend ain't cute, but it's fine though
We gon' end on a high note


I spy with my little eye
A girlie I can get 'cause she don't get too many likes
A curly-headed cutie I can turn into my wife
Wait, that means forever, ever, hold up, never mind
Oh, I spy with my little eye
A girlie I can get 'cause she don't get too many likes
A curly-headed cutie I can turn into my wife
Wait, that means forever, ever, hold up, never mind


Oh I, I spy with my little eye
I spy, I spy with my little eye
Oh I, I spy with my little eye
I spy, I spy with my little eye
Oh I


She said she 21, I might have to I.D. that
All my bitches come in pairs like balls in my nutsack
I remember ridin' around the city in a Hatchback
Lookin' for a problem with my young goblins
I'ma send a model home with her neck throbbin'
I done made so much money that it's non-stoppin'
Got my brothers on my back like the last name
I remember tellin' everyone I couldn't be tamed
Whoa, six months later I had snapped and now I'm in the game
Went from fake chains to diamonds in another lane
Went from ""Can you take me here?"" to screenin' out the lane
Went from ""Damn this nigga lame"" to remember my name
So I remember all the people who ain't fucked with me
They went to college, now all them niggas is history
Upgraded from gold to diamonds in my teeth
Ridin' deep in the van, like we lookin' for a mystery (Raggy!)
So don't fuck with me
No, lately I been livin' like luxury
Boat and Kyle stick together like piano keys
And on my mother's mother, I won't fuck a bitch without a damn rubber


I spy with my little eye
A girlie I can get 'cause she don't get too many likes
A curly-headed cutie I can turn into my wife
Wait, that means forever, ever, hold up, never mind
Oh, I...I spy with my little eye
A girlie I can get 'cause she don't get too many likes
A curly-headed cutie I can turn into my wife
Wait, that means forever, ever, hold up, never mind


Oh I, I spy with my little eye
I spy, I spy with my little eye
Oh I, I spy with my little eye
I spy, I spy with my little eye
Oh I"
347,Demi Lovato,Sorry Not Sorry,"
Payback is a bad bitch
And baby, I'm the baddest
(I'm the baddest, I'm the baddest...)
Go


Now, I'm out here lookin' like revenge
Feelin' like a ten, the best I've ever been
And, yeah, I know how bad it must hurt to see me like this
But it gets worse (wait a minute)
Now, you're out here lookin' like regret, ain't too proud to beg
Second chance, you'll never get
And, yeah, I know how bad it must hurt to see me like this
But it gets worse (wait a minute)


Now, payback is a bad bitch
And baby, I'm the baddest
You fuckin' with a savage
Can't have this, can't have this (ah)
And it'd be nice of me to take it easy on ya, but nah


Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Bein' so bad got me feelin' so good
Showin' you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Feelin' inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns


Baby, fineness is the way to kill
Tell me how it feel, bet it's such a bitter pill
And yeah I know, you thought you had bigger, better things
Bet right now this stings (wait a minute)
'Cause the grass is greener under me
Bright as Technicolor, I can tell that you can see
And yeah, I know how bad it must hurt to see me like this
But it gets worse (wait a minute)


Now, payback is a bad bitch
And baby, I'm the baddest
You fuckin' with a savage
Can't have this, can't have this (ah)
And it'd be nice of me to take it easy on ya, but nah


Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Bein' so bad got me feelin' so good
Showin' you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Feelin' inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns


Talk that talk, baby
Better walk, better walk that walk, baby
If you talk, if you talk that talk, baby
Better walk, better walk that walk, baby
Oh, yeah, talk that talk, baby
Better walk, better walk, that walk, baby
If you talk, if you talk that talk, baby
Better walk, better walk that walk, baby


Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Bein' so bad got me feelin' so good
Showin' you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Feelin' inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns


Payback is a bad bitch
And baby, I'm the baddest
I'm the baddest, I'm the baddest"
348,J Balvin & Willy William,Mi gente,"


Si el ritmo te lleva a mover la cabeza
Ya empezamos como es
Mi música no discrimina a nadie
Así que vamos a romper
Toda mi gente se mueve
Mira el ritmo cómo los tiene
Hago música que entretiene
El mundo nos quiere, nos quiere
Y me quiere a mí
Toda mi gente se mueve
Mira el ritmo cómo los tiene
Hago música que entretiene
Mi música los tiene fuerte bailando
Y se baila así




Tamo' rompiendo la discoteca
La fiesta no para, apenas comienza
C'est comme-ci, c'est comme ça
Ma chèrie, la-la-la-la-la
Francia, Colombia
Me gusta (Freeze)
J Balvin, Willy William
Le gusta (Freeze)
Los DJ's no mienten, le gusta a mi gente
Y eso se fue mundial (Freeze)
No le bajamos, más nunca paramos
Es otro palo y ¡blam!


¿Y dónde está mi gente?
Mais fais bouger la tête
¿Y dónde está mi gente?
Say yeah, yeah, yeah
Un, dos, tres, ¡leggo!
(Ay di que sí)




Esquina a esquina, de ahí no' vamo'
El mundo es grande pero lo tengo en mi' manos
Estoy muy duro, sí, ok, ahí vamos
Y con el tiempo nos seguimos elevando
Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Los tengo bailando, rompiendo y yo sigo aquí
Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Los tengo bailando, rompiendo y yo sigo aquí


¿Y dónde está mi gente?
Mais fais bouger la tête
¿Y dónde está mi gente?
Say yeah, yeah, yeah
Un, dos, tres, ¡leggo!
(Ay di que sí)




Worldwide
Willy William
J Balvin, man
Uh-huh
Uh-huh
Uh-huh
Uh-huh"
349,Taylor Swift,Look What You Made Me Do,"
I don't like your little games
Don't like your tilted stage
The role you made me play
Of the fool, no, I don't like you
I don't like your perfect crime
How you laugh when you lie
You said the gun was mine
Isn't cool, no, I don't like you (Oh)


But I got smarter, I got harder in the nick of time
Honey, I rose up from the dead, I do it all the time
I've got a list of names and yours is in red, underlined
I check it once, then I check it twice, oh!


Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me—
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do


I don't like your kingdom keys
They once belonged to me
You asked me for a place to sleep
Locked me out and threw a feast (What?)
The world moves on, another day, another drama, drama
But not for me, not for me, all I think about is karma
And then the world moves on, but one thing's for sure
Maybe I got mine, but you'll all get yours


But I got smarter, I got harder in the nick of time
Honey, I rose up from the dead, I do it all the time
I've got a list of names and yours is in red, underlined
I check it once, then I check it twice, oh!


Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me—
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do


I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams
I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams
I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams
I don't trust nobody and nobody trusts me
I'll be the actress starring in your bad dreams
(Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me—
Ooh, look what you made me do
Look what you made me do
Look what you just made me—)
""I'm sorry, the old Taylor can't come to the phone right now
""Why? Oh, 'cause she's dead!"" (Oh)


Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me—
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me—
Ooh, look what you made me do
Look what you made me do
Look what you just made me do
Look what you just made me do"
350,Sam Smith,Too Good At Goodbyes,"
You must think that I'm stupid
You must think that I'm a fool
You must think that I'm new to this
But I have seen this all before


I'm never gonna let you close to me
Even though you mean the most to me
'Cause every time I open up, it hurts
So I'm never gonna get too close to you
Even when I mean the most to you
In case you go and leave me in the dirt


But every time you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less I love you
Baby, we don't stand a chance, it's sad but it's true


I'm way too good at goodbyes
(I'm way too good at goodbyes)
I'm way too good at goodbyes
(I'm way too good at goodbyes)


I know you're thinkin' I'm heartless
I know you're thinkin' I'm cold
I'm just protectin' my innocence
I'm just protectin' my soul


I'm never gonna let you close to me
Even though you mean the most to me
'Cause every time I open up, it hurts
So I'm never gonna get too close to you
Even when I mean the most to you
In case you go and leave me in the dirt


But every time you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less l love you
Baby, we don't stand a chance, it's sad but it's true


I'm way too good at goodbyes
(I'm way too good at goodbyes)
I'm way too good at goodbyes
(I'm way too good at goodbyes)
No way that you'll see me cry
(No way that you'll see me cry)
I'm way too good at goodbyes
(I'm way too good at goodbyes)


No
No, no, no, no, no
(I'm way too good at goodbyes)
No, no, no, no
No, no, no
(I'm way too good at goodbyes)
(No way that you'll see me cry)
Ahhh
(I'm way too good at goodbyes)


'Cause every time you hurt me, the less that I cry
And every time you leave me, the quicker these tears dry
And every time you walk out, the less I love you
Baby, we don't stand a chance, it's sad but it's true
I'm way too good at goodbyes"
351,Rihanna,Love On The Brain,"
And you got me like, ""Oh, what you want from me?""
(What you want from me?)
And I tried to buy your pretty heart, but the price too high
Baby you got me like ""Oh""
You love when I fall apart (fall apart)
So you can put me together and throw me against the wall


Baby you got me like i-i-i-i-i-i-i-i-i-hiii, woo i-i-i-i-i-i-i-i-i-hiii
Don't you stop loving me (loving me)
Don't quit loving me (loving me)
Just start loving me (loving me)
Owwwwww


And babe I’m fist-fighting with fire
Just to get close to you
Can we burn something babe
And I run for miles just to get a taste
Must be love on the brain
That’s got me feeling this way
It beats me black and blue but it fucks me so good
And I can’t get enough
Must be love on the brain yeah
And it keeps cursing my name
No matter what I do
I’m no good without you
And I can’t get enough
Must be love on the..... brain


Baby keep loving me
Just love me
Yeah, just love me
All you need to do is love me, yeah
Got me like, ah-ha-ha-owww
I’m tired of being played like a violin
What do I gotta do to get in your motherfuckin’ heart?
Baby like i-i-i-i-i-i-i-i-i-hiii, woo i-i-i-i-i-i-i-i-i-hiii


Baby you got me like i-i-i-i-i-i-i-i-i-hiii, woo i-i-i-i-i-i-i-i-i-hiii
Don't you stop loving me (loving me)
Don't quit loving me (loving me)
Just start loving me (loving me)
Ooooooohhh


And babe I’m fist-fighting with fire
Just to get close to you
Can we burn something babe
And I run for miles just to get a taste
Must be love on the brain
That’s got me feeling this way
It beats me black and blue but it fucks me so good
And I can’t get enough
Must be love on the brain yeah
And it keeps cursing my name
No matter what I do
I’m no good without you
And I can’t get enough
Must be love on the.... brain

"
352,Justin Timberlake,Can't Stop The Feeling,"
I got this feeling inside my bones
It goes electric, wavey when I turn it on
All through my city, all through my home
We're flying up, no ceiling, when we in our zone


I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops
I can't take my eyes up off it, moving so phenomenally
Room on lock, the way we rock it, so don't stop


And under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine, just imagine, just imagine


Nothing I can see but you when you dance, dance, dance
A feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance (Come on)


Ooh, it's something magical
It's in the air, it's in my blood, it's rushing on
I don't need no reason, don't need control
I fly so high, no ceiling, when I'm in my zone


'Cause I got that sunshine in my pocket
Got that good soul in my feet
I feel that hot blood in my body when it drops
I can't take my eyes up off it, moving so phenomenally
Room on lock, the way we rock it, so don't stop


And under the lights when everything goes
Nowhere to hide when I'm getting you close
When we move, well, you already know
So just imagine, just imagine, just imagine


Nothing I can see but you when you dance, dance, dance
A feeling good, good, creeping up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leaving soon, so keep dancing
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So just dance, dance, dance (Come on)
I can't stop the feeling
So just dance, dance, dance
I can't stop the feeling
So keep dancing (Come on)


I can't stop the, I can't stop the
I can't stop the, I can't stop the
I can't stop the feeling


Nothing I can see but you when you dance, dance, dance
(I can't stop the feeling)
Feeling good, good, creeping up on you
So just dance, dance, dance, come on
(I can't stop the feeling)
All those things I shouldn't do
But you dance, dance, dance
(I can't stop the feeling)
And ain't nobody leaving soon, so keep dancing


Everybody sing
(I can't stop the feeling)
Got this feeling in my body
(I can't stop the feeling)
Got this feeling in my body
(I can't stop the feeling)
Wanna see you move your body
(I can't stop the feeling)
Got this feeling in my body, come on
Break it down
Got this feeling in my body
Can't stop the feeling
Got this feeling in my body, come on"
353,Alessia Cara,Scars To Your Beautiful,"
She just wants to be beautiful
She goes unnoticed, she knows no limits
She craves attention, she praises an image
She prays to be sculpted by the sculptor
Oh, she don't see the light that's shining
Deeper than the eyes can find it
Maybe we have made her blind
So she tries to cover up her pain and cut her woes away
Cause covergirls don't cry after their face is made


But there's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing
The world could change its heart
No scars to your beautiful, we're stars and we're beautiful
Oh, oh, oh
Oh-oh, oh, oh
And you don't have to change a thing
The world could change its heart
No scars to your beautiful, we're stars and we're beautiful


She has dreams to be an envy, so she's starving
You know, covergirls eat nothing
She says ""beauty is pain and there's beauty in everything""
""What's a little bit of hunger?""
""I can go a little while longer,"" she fades away
She don't see her perfect, she don't understand she's worth it
Or that beauty goes deeper than the surface, oh, oh
So to all the girls that's hurting, let me be your mirror
Help you see a little bit clearer the light that shines within


There's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing
The world could change its heart
No scars to your beautiful, we're stars and we're beautiful


No better you than the you that you are
No better you than the you that you are
No better life than the life we're living
No better life than the life we're living
No better time for your shine, you're a star
No better time for your shine, you're a star
Oh, you're beautiful, oh, you're beautiful


And there's a hope that's waiting for you in the dark
You should know you're beautiful just the way you are
And you don't have to change a thing
The world could change its heart
No scars to your beautiful, we're stars and we're beautiful
And you don't have to change a thing
The world could change its heart
No scars to your beautiful, we're stars and we're beautiful"
354,Rag'n'Bone Man,Human,"
I'm only human
I'm only, I'm only
I'm only human, human


Maybe I'm foolish, maybe I'm blind
Thinking I can see through this and see what's behind
Got no way to prove it, so maybe I'm lying


But I'm only human after all
I'm only human after all
Don't put your blame on me
Don't put your blame on me


Take a look in the mirror and what do you see?
Do you see it clearer, or are you deceived
In what you believe?


'Cause I'm only human after all
You're only human after all
Don't put the blame on me
Don't put your blame on me


Some people got the real problems
Some people out of luck
Some people think I can solve them
Lord heavens above
I'm only human after all
I'm only human after all
Don't put the blame on me
Don't put the blame on me


Don't ask my opinion, don't ask me to lie
Then beg for forgiveness for making you cry
Making you cry


'Cause I'm only human after all
I'm only human after all
Don't put your blame on me
Don't put the blame on me


Some people got the real problems
Some people out of luck
Some people think I can solve them
Lord heavens above
I'm only human after all
I'm only human after all
Don't put the blame on me
Don't put the blame on me
I'm only human, I make mistakes
I'm only human, that's all it takes
To put the blame on me
Don't put the blame on me


'Cause I'm no prophet or Messiah
You should go looking somewhere higher


I'm only human after all
I'm only human after all
Don't put the blame on me
Don't put the blame on me
I'm only human, I do what I can
I'm just a man, I do what I can
Don't put the blame on me
Don't put your blame on me"
355,Harry Styles,Sign Of The Times,"
Just stop your crying, it's a sign of the times
Welcome to the final show
Hope you're wearing your best clothes
You can't bribe the door on your way to the sky
You look pretty good down here
But you ain't really good


We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?
We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?


Just stop your crying, it's a sign of the times
We gotta get away from here
We gotta get away from here
Just stop your crying, it'll be alright
They told me that the end is near
We gotta get away from here


Just stop your crying, have the time of your life
Breaking through the atmosphere
And things are pretty good from here
Remember everything will be alright
We can meet again somewhere
Somewhere far away from here


We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?
We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?


Just stop your crying, it's a sign of the times
We gotta get away from here
We gotta get away from here
Stop your crying, baby, it'll be alright
They told me that the end is near
We gotta get away from here


We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?
We never learn, we been here before
Why are we always stuck and running from
The bullets? The bullets?


We don't talk enough, we should open up
Before it's all too much
Will we ever learn? We've been here before
It's just what we know


Stop your crying, baby, it's a sign of the times
We gotta get away, we got to get away
We got to get away, we got to get away
We got to get away
We got to, we got to, away
We got to, we got to, away
We got to, we got to, away"
