,0,1,2
130,Fifth Harmony & Fetty Wap,All In My Head,"[Intro: Dinah]
Flex, time to impress
Come and climb in my bed
Don't be shy, do your thing
It's all in my head

[Verse 1: Fetty Wap]
I wanna flex with you, baby
I'm tryna chill with you
Throwin' bands at you
While we flexing boo, baby
Show me some different moves
And I love your groove
'Cause it's meant to be, baby
Ay, make history, baby
And you the one for me
And I'm the one for you
So come flex with me, baby

[Verse 2: Ally]
Curtains like waves closing in all around us
Dimming the lights just so that they don't blind us
So tongue in cheek when we're laying on roses
But you're touching my skin and you're leaving me hopeless

[Pre-Chorus: Lauren]
I wanna feel you un—, feel you under my body
I wanna feel you un—, feel you un—

[Chorus: Dinah & Normani]
Flex, time to impress
Come and climb in my bed
Don't be shy, do your thing
It's all in my head
Flex, time to impress
Come and climb in my bed
Don't be shy, do your thing
It's all in my head, yeah

[Verse 3: Camila]
Curtains like waves closing in all around us, yeah, yeah, yeah
Dimming the lights just so that they don't blind us, nah, nah
So tongue in cheek when we're laying on roses
But you're touching my skin and you're leaving me hopeless

[Pre-Chorus: Lauren]
I wanna feel you un—, feel you under my body
I wanna feel you un—, feel you un—

[Chorus: Dinah & Normani]
Flex, time to impress
Come and climb in my bed
Don't be shy, do your thing
It's all in my head
Flex, time to impress
Come and climb in my bed
Don't be shy, do your thing
It's all in my head, yeah

[Verse 4: Fetty Wap]
I want you to come flex with me, baby
You got what I want and I need it
Say you're a bad motherfucker and I'm sayin'
They can't play with us and you know it
I take a hundred thousand and blow it
Ay, another hundred thou and I love her
Ay, come flex with Zoo 'til it's over
Ay, come flex with Zoo 'til it's over, yeah babe

[Pre-Chorus: Lauren]
I wanna feel you un—, feel you under my body
I wanna feel you un—, feel you un—

[Chorus: Dinah & Normani]
Oh, flex, time to impress
Come and climb in my bed
Don't be shy, do your thing
It's all in my head
Flex, time to impress
Come and climb in my bed
Don't be shy, do your thing
It's all in my head, yeah

[Outro: Fetty Wap & Normani & Dinah]
(I wanna flex with you, baby) Hey, it's all in my head
(Zoovier, baby) It's all in my head
(I wanna flex with you, baby) It's all in my head
(Baby) It's all in my head"
131,Ruth B,Lost Boy,"[Verse 1]
There was a time when I was alone
Nowhere to go and no place to call home
My only friend was the man in the Moon
And even sometimes he would go away too
Then one night, as I closed my eyes
I saw a shadow flying high
He came to me with the sweetest smile
Told me he wanted to talk for a while
He said, ""Peter Pan that's what they call me
I promise that you'll never be lonely""
And ever since that day...

[Chorus]
I am a Lost Boy from Neverland
Usually hanging out with Peter Pan and
And when we're bored we play in the woods
Always on the run from Captain Hook
""Run, run Lost Boy,"" they say to me
Away from all of reality
Neverland is home to Lost Boys like me
And Lost Boys like me are free
Neverland is home to Lost Boys like me
And Lost Boys like me are free

[Verse 2]
He sprinkled me in pixie dust and told me to believe
Believe in him and believe in me
Together we will fly away in a cloud of green
To your beautiful destiny
As we soared above the town that never loved me
I realized I finally had a family
Soon enough we reached Neverland
Peacefully my feet hit the sand
And ever since that day...

[Chorus]
I am a Lost Boy from Neverland
Usually hanging out with Peter Pan and
And when we're bored we play in the woods
Always on the run from Captain Hook
""Run, run Lost Boy,"" they say to me
Away from all of reality
Neverland is home to Lost Boys like me
And Lost Boys like me are free
Neverland is home to Lost Boys like me
And Lost Boys like me are free

[Bridge]
Peter Pan, Tinker Bell, Wendy Darling
Even Captain Hook, you are my perfect storybook
Neverland, I love you so, you are now my home sweet home
Forever a Lost Boy at last
Peter Pan, Tinker Bell, Wendy Darling
Even Captain Hook, you are my perfect storybook
Neverland, I love you so, you are now my home sweet home
Forever a Lost Boy at last
And for always I will say...

[Chorus]
I am a Lost Boy from Neverland
Usually hanging out with Peter Pan and
And when we're bored we play in the Woods
Always on the run from Captain Hook
""Run, run Lost Boy,"" they say to me
Away from all of reality
Neverland is home to Lost Boys like me
And Lost Boys like me are free
Neverland is home to Lost Boys like me
And Lost Boys like me are free"
132,Drake & The Throne,Pop Style,"[Hook]
Dropped outta school now we dumb rich (dumb rich)
This sound like some forty-three-oh-one shit (one shit)
All my niggas wanna do is pop style (pop style)
Turn my birthday into a lifestyle (lifestyle)

[Verse 1]
Tell my mom I love her if I do not make it (do not make it)
Got so many chains they call me Chaining Tatum (they do, they do)
And I like to finish what you think you started
Man you boys just got to Hollywood, you boys just started
You don't know what you just started
All I do is hang with the young and heartless
All this for my family, man, I try my hardest
It's all I ever did and look where it got him
Yeah, you've been on my mind lately
You've still got my number, girl you need to call me
I feel like they wanna see me learn the hard way
But you know I always handle that one my way
Girl let me rock, rock, rock, rock, rock your body
Justin Timberlake and then I hit the highway
I can't trust no fuckin' body
They still out to get me cause they never got me

[Verse 2]
They still out to get me, I don't get it
I can not be got, and that's a given
Give a real nigga the number one
Even though I got like twenty-one
Cannot be me I'm a one-of-one
Schooling your ass like 101
They been out here tryna slide on me
They been out here telling lies on me
Everybody looking out for themself
But they still got they eyes on me
See me putting in the hard work now, aye
Momma doesn't have to call work now, aye
I decide when I start work now, aye
Problems hit the gym, they all work out
MVP, MVP, oh-nine all the way to sixteen
Even next season looking like a breeze
Lot of y'all ain't built for the league, yeah
Trade you off the team while you in your sleep, yeah
Y'all showed me that nothing's guaranteed
And you don't know what you started
My friend's chain so big that he look like the artist
I can't trust no fuckin' body
They still out to get me cause they never got me

[Hook]
Dropped outta school now we dumb rich (dumb rich)
This sound like some forty-three-oh-one shit (one shit)
All my niggas wanna do is pop style (pop style)
Turn my birthday into a lifestyle (lifestyle)"
133,Ed Sheeran,Shape Of You,"[Verse 1]
The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast and then we talk slow
And you come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance, and now I'm singing like

[Pre-Chorus]
Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

[Chorus]
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

[Verse 2]
One week in we let the story begin
We're going out on our first date
You and me are thrifty, so go all you can eat
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family is doing okay
Leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play, and I'm singing like

[Pre-Chorus]
Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

[Chorus]
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Oh—I—oh—I—oh—I—oh—I
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you

[Bridge]
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on

[Chorus]
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of you"
134,Luis Fonsi & Daddy Yankee,Despacito,"[Letra de ""Despacito"" ft. Luis Fonsi]

[Intro: Luis Fonsi & Daddy Yankee]
Ay, ¡Fonsi! ¡D.Y.!
Ohhh, oh, no, oh, no, oh
¡Hey, yeah!
Dididiri Daddy, go!

[Intro: Luis Fonsi & Daddy Yankee]
Sí, sabes que ya llevo un rato mirándote
Tengo que bailar contigo hoy
(¡D.Y.!) Vi que tu mirada ya estaba llamándome
Muéstrame el camino que yo voy

[Verso 1: Luis Fonsi & Daddy Yankee]
¡Oh!
Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso (¡Oh, yeah!)
Ya, ya me está gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

[Estribillo: Luis Fonsi & Daddy Yankee]
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube, sube, sube)

[Post-Estribillo: Luis Fonsi & Daddy Yankee]
Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido

[Verso 2: Daddy Yankee]
Si te pido un beso, ven, dámelo, yo sé que estás pensándolo
Llevo tiempo intentándolo, mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bang-bang
Sabes que esa beba está buscando de mi bang-bang
Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empecemos lento, después salvaje

[Pre-Estribillo: Daddy Yankee]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo aquí tengo la pieza
¡Oye!

[Estribillo: Luis Fonsi & Daddy Yankee]
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube, sube, sube)

[Post-Estribillo: Luis Fonsi & Daddy Yankee]
Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido

[Verso 3: Luis Fonsi]
Despacito
Vamo' a hacerlo en una playa en Puerto Rico
Hasta que las olas griten ""¡Ay, Bendito!""
Para que mi sello se quede contigo
¡Báilalo!

[Outro: Daddy Yankee & Luis Fonsi]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Que le enseñes a mi boca
Tus lugares favoritos
(Favorito, favorito, baby)
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos (Fonsi)
Y que olvides tu apellido (D.Y.)
Despacito"
135,The Chainsmokers & Coldplay,Something Just Like This,"[Verse 1: Chris Martin]
I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spiderman's control
And Batman with his fists
And clearly I don't see myself upon that list

[Pre-Chorus: Chris Martin]
But she said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss

[Bridge: Chris Martin]
I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo

[Chorus: Chris Martin]
Oh, I want something just like this
I want something just like this

[Verse 2: Chris Martin]
I've been reading books of old
The legends and the myths
The testaments they told
The moon and its eclipse
And Superman unrolls
A suit before he lifts
But I'm not the kind of person that it fits

[Pre-Chorus: Chris Martin]
She said, where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can miss

[Chorus: Chris Martin]
I want something just like this
I want something just like this

[Bridge: Chris Martin]
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo-doo
Doo-doo-doo, doo-doo-doo

[Pre-Chorus: Chris Martin]
Where'd you wanna go?
How much you wanna risk?
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this

[Chorus: Chris Martin]
Oh, I want something just like this
Oh, I want something just like this
Oh, I want something just like this"
136,French Montana & Swae Lee,Unforgettable,"[Chorus: Swae Lee]
It's not good enough for me
Since I've been with you, ooh
It's not gonna work for you
Nobody can equal me (I know)
I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm
While she push up against me, ooh, and she tipsy
I had enough convo for 24
I peep'd you from across the room
Pretty little body dancin' like GoGo, hey
And you are unforgettable
I need to get you alone (ooh)
Why not? A fuckin' good time never hurt nobody
I got a little drink but it's not Bacardi
If you loved the girl, then I'm so, so sorry
I gotta give it to her like we in a marriage
Oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do

[Verse 1: French Montana]
Feelin' like I'm fresh out; Boosie (Boosie)
If they want the drama, got the Uzi (Uzi)
Ship the whole crew to the cruise ship (cruise)
Doin' shit you don't even see in movies (movies)
Ride with me, ride with me, boss (boss)
I got a hard head, but her ass soft (soft)
She want the last name with the ring on it
'Cause I pulled out a million cash, told her plank on it

[Refrain: Swae Lee & French Montana]
And you are unforgettable
I need to get you alone
Now you wanna choose
Just pop the bubbly in the 'cuzi

[Chorus: Swae Lee]
It's not good enough for me
Since I've been with you, ooh
I'm gonna sip on this drink, when I'm fucked up
I should know how to pick up
I'm gonna catch the rhythm
While she push up against me, ooh, and she tipsy
I had enough convo for 24
I peep'd you from across the room
Pretty little body dancin' like GoGo, hey
And you are unforgettable
I need to get you alone (oeh)
Why not? A fuckin' good time never hurt nobody
I got a little drink but it's not Bacardi
If you loved the girl, then I'm so, so sorry
I gotta give it to her like we in a marriage
Oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do

[Verse 2: French Montana]
You ain't enough for me
Too much for you alone
Baby, go and grab some bad bitches, bring 'em home
Know the jet's on me
I'ma curve my best for you, you know
So pick up that dress for me
Leave the rest on
Too much convo for 24 hours
When you stand next to 24 karats
She left her man at home
She don't love him no more
I want your mind and your body
Don't mind nobody
So, you don't ever hurt nobody
Baby girl, work your body, work your body

[Refrain: Swae Lee & French Montana]
And you are unforgettable
I need to get you alone
Now you wanna choose
Just pop the bubbly in the 'cuzi
Why not?

[Outro: Swae Lee]
Oh, like we in a hurry
No, no, I won't tell nobody
You're on your level too
Tryna do what lovers do"
137,Bruno Mars,That's What I Like,"[Verse 1]
Hey, hey, hey
I got a condo in Manhattan
Baby girl, what's  hatnin'?
You and your ass invited
So gon' and get to clappin'
So pop it for a player
Pop, pop it for me
Turn around and drop it for a player
Drop, drop it for me
I'll rent a beach house in Miami (-ami)
Wake up with no jammies (Nope)
Lobster tail for dinner
Julio serve that scampi (Julio!)
You got it if you want it
Got, got it if you want it
Said you got it if you want it
Take my wallet if you want it now

[Pre-Chorus]
Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

[Chorus]
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

[Verse 2]
I'm talkin' trips to Puerto Rico
Say the word and we go (Say it)
You can be my freaka (Brrrt!)
What the fuck
I will never make a promise that I can't keep
I promise that your smile ain't gon' never leave
Shopping sprees in Paris
Everything 24 karats
Take a look in that mirror
Now tell me who's the fairest
Is it you? (Is it you?) Is it me? (Is it me?)
Say it's us (Say it's us) and I'll agree, baby

[Pre-Chorus]
Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it baby, you deserve it all
And I'm gonna give it to you

[Chorus]
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

[Bridge]
If you say you want a good time
Well here I am baby, here I am baby
Talk to me, talk to me, talk to me
Tell me what's on your mind (What's on your mind)
If you want it, girl come and get it
All this is here for you
Tell me baby, tell me, tell me baby
What you tryna do

[Chorus]
Gold jewelry shining so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like"
138,Imagine Dragons,Believer,"[Verse 1]
First things first
I'ma say all the words inside my head
I'm fired up and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh
Second thing second
Don't you tell me what you think that I could be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh

[Pre-Chorus]
I was broken from a young age
Taking my sulkin' to the masses
Writing my poems for the few
That look at me, took to me, shook at me, feelin' me
Singing from heartache from the pain
Taking my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the...

[Chorus]
Pain! You made me a, you made me a believer, believer
Pain! You break me down and build me up, believer, believer
Pain! Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from...
Pain! You made me a, you made me a believer, believer

[Verse 2]
Third things third
Send a prayer to the ones up above
All the hate that you've heard has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh

[Pre-Chorus]
I was chokin' in the crowd
Building my rain up in the cloud
Falling like ashes to the ground
Hoping my feelings, they would drown
But they never did, ever lived, ebbin' and flowin'
Inhibited, limited 'til it broke open and rained down
It rained down, like...

[Chorus]
Pain! You made me a, you made me a believer, believer
Pain! You break me down and build me up, believer, believer
Pain! Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from...
Pain! You made me a, you made me a believer, believer

[Bridge]
Last things last
By the grace of the fire and the flames
You're the face of the future, the blood in my veins, oh-ooh
The blood in my veins, oh-ooh
But they never did, ever lived, ebbin' and flowin'
Inhibited, limited 'til it broke open and rained down
It rained down, like...

[Chorus]
Pain! You made me a, you made me a believer, believer
Pain! You break me down and build me up, believer, believer
Pain! Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from...
Pain! You made me a, you made me a believer, believer"
139,Charlie Puth,Attention,"[Intro]
Woah-oah, hm-hmm

[Verse 1]
You've been runnin' 'round, runnin' 'round, runnin' 'round
Throwin' that dirt all on my name
'Cause you knew that I, knew that I, knew that I'd
Call you up
You've been going 'round, going 'round, going 'round
Every party in LA
'Cause you knew that I, knew that I, knew that I'd
Be at one, oh

[Pre-Chorus]
I know that dress is karma, perfume regret
You got me thinking 'bout when you were mine, ooh
And now I'm all up on ya, what you expect?
But you're not coming home with me tonight

[Chorus]
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never gettin' over you, oh

[Verse 2]
You've been runnin' 'round, runnin' 'round, runnin' 'round
Throwin' that dirt all on my name
'Cause you knew that I, knew that I, knew that I'd
Call you up
Baby, now that we're, now that we're, now that we're
Right here standin' face to face
You already know, 'ready know, 'ready know
That you won, oh

[Pre-Chorus]
I know that dress is karma (Dress is karma), perfume regret, yeah
You got me thinking 'bout when you were mine, ooh
(You got me thinking 'bout when you were mine)
And now I'm all up on ya (All up on ya), what you expect? (Oh, baby)
But you're not coming home with me tonight, oh no

[Chorus]
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new (One new)
Yeah, you just want attention (Oh), I knew from the start (The start)
You're just making sure I'm never gettin' over you (Over you), oh

[Bridge]
What are you doin' to me?
What are you doin', huh? (What are you doin'?)
What are you doin' to me?
What are you doin', huh? (What are you doin'?)
What are you doin' to me?
What are you doin', huh? (What are you doin'?)
What are you doin' to me?
What are you doin', huh?

[Pre-Chorus]
I know that dress is karma, perfume regret
You got me thinking 'bout when you were mine
And now I'm all up on ya, what you expect?
But you're not coming home with me tonight

[Chorus]
You just want attention, you don't want my heart
Maybe you just hate the thought of me with someone new
Yeah, you just want attention, I knew from the start
You're just making sure I'm never gettin' over you (Over you)

[Outro]
What are you doin' to me? (Hey)
What are you doin', huh? (What are you doin', love?)
What are you doin' to me?
What are you doin', huh? (Yeah, you just want attention)
What are you doin' to me? (I knew from the start)
What are you doin' huh? (You're just making sure I'm never gettin' over you)
What are you doin' to me?
What are you doin', huh?"
140,Kygo & Selena Gomez,It Ain't Me,"[Verse 1: Selena Gomez]
I had a dream
We were sipping whiskey neat
Highest floor, The Bowery
Nowhere's high enough
Somewhere along the lines
We stopped seeing eye to eye
You were staying out all night
And I had enough

[Pre-Chorus: Selena Gomez]
No, I don't wanna know
Where you been or where you're goin'
But I know I won't be home
And you'll be on your own

[Chorus: Selena Gomez]
Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?

[Drop: Selena Gomez & Kygo]
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me

[Verse 2: Selena Gomez]
I had a dream
We were back to seventeen
Summer nights and The Libertines
Never growing up
I'll take with me
The polaroids and the memories
But you know I'm gonna leave
Behind the worst of us

[Chorus: Selena Gomez]
Who's gonna walk you
Through the dark side of the morning?
Who's gonna rock you
When the sun won't let you sleep?
Who's waking up to drive you home
When you're drunk and all alone?
Who's gonna walk you
Through the dark side of the morning?

[Drop: Selena Gomez & Kygo]
It ain't me, no no
It ain't me, no no
It ain't me, no no
Who's gonna walk you through the dark side of the morning?
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me
The Bowery, whiskey neat, grateful, I'm so grateful
It ain't me"
141,Shawn Mendes,There's Nothing Holdin' Me Back,"[Verse 1]
I wanna follow where she goes
I think about her and she knows it
I wanna let her take control
'Cause everytime that she gets close, yeah

[Pre-Chorus]
She pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing, yeah

[Chorus]
Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
There's nothing holding me back

[Verse 2]
She says that she's never afraid
Just picture everybody naked
She really doesn't like to wait
Not really into hesitation

[Pre-Chorus]
Pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing, yeah

[Chorus]
Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back

[Bridge]
'Cause if we lost our minds and we took it way too far
I know we'd be alright, I know we would be alright
If you were by my side and we stumbled in the dark
I know we'd be alright, I know we would be alright
'Cause if we lost our minds and we took it way too far
I know we'd be alright, I know we would be alright
If you were by my side and we stumbled in the dark
I know we'd be alright, we would be alright

[Chorus]
Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
I feel so free when you're with me, baby
Baby, there's nothing holding me back"
142,Ed Sheeran,Castle On The Hill,"[Verse 1]
When I was six years old I broke my leg
I was running from my brother and his friends
And tasted the sweet perfume of the mountain grass I rolled down
I was younger then, take me back to when I

[Pre-Chorus]
Found my heart and broke it here
Made friends and lost them through the years
And I've not seen the roaring fields in so long, I know I've grown
But I can't wait to go home

[Chorus]
I'm on my way
Driving at 90 down those country lanes
Singing to ""Tiny Dancer""
And I miss the way you make me feel, and it's real
We watched the sunset over the castle on the hill

[Verse 2]
Fifteen years old and smoking hand-rolled cigarettes
Running from the law through the backfields and getting drunk with my friends
Had my first kiss on a Friday night, I don't reckon that I did it right
But I was younger then, take me back to when

[Pre-Chorus]
We found weekend jobs, when we got paid
We'd buy cheap spirits and drink them straight
Me and my friends have not thrown up in so long, oh how we've grown
But I can't wait to go home

[Chorus]
I'm on my way
Driving at 90 down those country lanes
Singing to ""Tiny Dancer""
And I miss the way you make me feel, and it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill

[Bridge]
One friend left to sell clothes
One works down by the coast
One had two kids but lives alone
One's brother overdosed
One's already on his second wife
One's just barely getting by
But these people raised me
And I can't wait to go home

[Chorus]
And I'm on my way, I still remember
These old country lanes
When we did not know the answers
And I miss the way you make me feel, it's real
We watched the sunset over the castle on the hill
Over the castle on the hill
Over the castle on the hill"
